Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200315,1,1,0,0,0,0
20200316,1,0,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,6,5,0,0,0,0
20200320,6,0,0,0,0,0
20200321,6,0,0,0,0,0
20200322,9,3,0,0,0,0
20200323,9,0,0,0,0,0
20200324,9,0,0,0,0,0
20200325,11,2,0,0,0,0
20200326,12,1,0,0,0,0
20200327,13,1,0,0,0,0
20200328,13,0,0,0,0,0
20200329,14,1,0,0,0,0
20200330,14,0,0,0,0,0
20200331,14,0,1,1,0,0
20200401,14,0,1,0,0,0
20200402,14,0,1,0,0,0
20200403,15,1,1,0,0,0
20200404,15,0,1,0,0,0
20200405,15,0,1,0,0,0
20200406,15,0,1,0,0,0
20200407,13,-2,3,2,0,0
