Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,3,2,0,0,0,0
20200229,3,0,0,0,0,0
20200301,3,0,0,0,0,0
20200302,7,4,0,0,0,0
20200303,7,0,0,0,0,0
20200304,7,0,0,0,0,0
20200305,9,2,0,0,0,0
20200306,32,23,0,0,0,0
20200307,32,0,0,0,0,0
20200308,66,34,0,0,0,0
20200309,73,7,0,0,0,0
20200310,73,0,0,0,0,0
20200311,89,16,0,0,0,0
20200312,97,8,0,0,1,1
20200313,97,0,0,0,1,0
20200314,97,0,0,0,1,0
20200315,226,129,0,0,2,1
20200316,327,101,0,0,4,2
20200317,327,0,0,0,4,0
20200318,383,56,0,0,4,0
20200319,445,62,14,14,5,1
20200320,468,23,19,5,8,3
20200321,498,30,19,0,13,5
20200322,590,92,19,0,15,2
20200323,659,69,19,0,17,2
20200324,704,45,19,0,20,3
20200325,780,76,19,0,22,2
20200326,847,67,19,0,26,4
20200327,919,72,19,0,28,2
20200328,1010,91,19,0,32,4
20200329,1099,89,19,0,38,6
20200330,1150,51,19,0,43,5
20200331,1246,96,19,0,49,6
20200401,1346,100,19,0,50,1
20200402,1515,169,19,0,50,0
20200403,1535,20,19,0,59,9
20200404,1586,51,19,0,68,9
20200405,1643,57,19,0,73,5
20200406,1657,14,19,0,79,6
20200407,1732,75,19,0,81,2
