Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,1,1,0,0,0,0
20200320,2,1,0,0,0,0
20200321,2,0,0,0,0,0
20200322,2,0,0,0,0,0
20200323,2,0,0,0,0,0
20200324,4,2,0,0,0,0
20200325,4,0,0,0,0,0
20200326,5,1,0,0,0,0
20200327,6,1,0,0,0,0
20200328,9,3,0,0,0,0
20200329,10,1,0,0,0,0
20200330,10,0,0,0,0,0
20200331,10,0,0,0,0,0
20200401,10,0,0,0,0,0
20200402,10,0,0,0,0,0
20200403,10,0,0,0,0,0
20200404,10,0,0,0,0,0
20200405,10,0,0,0,0,0
20200406,11,1,0,0,0,0
20200407,11,0,0,0,0,0
