Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,0,0,0,0,1,1
20200317,0,0,0,0,1,0
20200318,5,5,0,0,1,0
20200319,5,0,0,0,1,0
20200320,8,3,0,0,1,0
20200321,11,3,0,0,1,0
20200322,16,5,0,0,1,0
20200323,17,1,0,0,1,0
20200324,19,2,0,0,1,0
20200325,20,1,0,0,1,0
20200326,23,3,0,0,1,0
20200327,23,0,0,0,1,0
20200328,24,1,0,0,1,0
20200329,31,7,0,0,1,0
20200330,33,2,0,0,1,0
20200331,35,2,0,0,1,0
20200401,35,0,0,0,1,0
20200402,38,3,0,0,1,0
20200403,46,8,0,0,1,0
20200404,49,3,0,0,1,0
20200405,49,0,0,0,1,0
20200406,59,10,0,0,2,1
20200407,67,8,0,0,3,1
