Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200317,3,3,0,0,0,0
20200318,3,0,0,0,0,0
20200319,3,0,0,0,0,0
20200320,12,9,0,0,0,0
20200321,14,2,0,0,0,0
20200322,14,0,0,0,1,1
20200323,26,12,0,0,1,0
20200324,28,2,0,0,1,0
20200325,31,3,0,0,1,0
20200326,36,5,0,0,1,0
20200327,44,8,0,0,1,0
20200328,50,6,0,0,1,0
20200329,55,5,0,0,1,0
20200330,55,0,0,0,1,0
20200331,57,2,0,0,1,0
20200401,67,10,0,0,2,1
20200402,74,7,0,0,3,1
20200403,79,5,0,0,3,0
20200404,81,2,0,0,3,0
20200405,89,8,0,0,4,1
20200406,108,19,0,0,4,0
20200407,109,1,0,0,4,0
