Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,5,5,0,0,0,0
20200309,5,0,0,0,0,0
20200310,5,0,0,0,0,0
20200311,5,0,0,0,0,0
20200312,5,0,0,0,0,0
20200313,6,1,0,0,0,0
20200314,6,0,0,0,0,0
20200315,7,1,0,0,0,0
20200316,7,0,0,0,0,0
20200317,7,0,0,0,0,0
20200318,7,0,0,0,0,0
20200319,7,0,0,0,0,0
20200320,15,8,0,0,0,0
20200321,15,0,0,0,0,0
20200322,15,0,0,0,0,0
20200323,18,3,0,0,0,0
20200324,20,2,0,0,0,0
20200325,23,3,0,0,0,0
20200326,28,5,0,0,0,0
20200327,28,0,0,0,0,0
20200328,31,3,0,0,0,0
20200329,31,0,0,0,0,0
20200330,31,0,0,0,0,0
20200331,43,12,0,0,0,0
20200401,46,3,0,0,0,0
20200402,51,5,0,0,0,0
20200403,55,4,0,0,0,0
20200404,57,2,0,0,0,0
20200405,62,5,0,0,0,0
20200406,66,4,0,0,0,0
20200407,68,2,0,0,0,0
