Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200313,0,0,0,0,1,1
20200314,5,5,0,0,1,0
20200315,0,-5,0,0,1,0
20200316,3,3,0,0,1,0
20200317,3,0,0,0,1,0
20200318,3,0,0,0,1,0
20200319,4,1,0,0,1,0
20200320,4,0,0,0,1,0
20200321,4,0,0,0,1,0
20200322,4,0,0,0,1,0
20200323,4,0,0,0,1,0
20200324,4,0,0,0,1,0
20200325,4,0,0,0,1,0
20200326,4,0,0,0,1,0
20200327,4,0,0,0,1,0
20200328,4,0,0,0,1,0
20200329,4,0,0,0,1,0
20200330,4,0,0,0,1,0
20200331,7,3,0,0,1,0
20200401,10,3,0,0,2,1
20200402,17,7,0,0,2,0
20200403,15,-2,0,0,4,2
20200404,19,4,0,0,4,0
20200405,19,0,0,0,4,0
20200406,25,6,0,0,4,0
20200407,26,1,0,0,5,1
