Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200312,2,2,0,0,0,0
20200313,2,0,0,0,0,0
20200314,2,0,0,0,0,0
20200315,2,0,0,0,0,0
20200316,2,0,0,0,0,0
20200317,8,6,0,0,0,0
20200318,8,0,0,0,0,0
20200319,9,1,0,0,0,0
20200320,24,15,0,0,0,0
20200321,24,0,0,0,0,0
20200322,24,0,0,0,0,0
20200323,26,2,0,0,0,0
20200324,30,4,0,0,0,0
20200325,52,22,0,0,0,0
20200326,67,15,0,0,1,1
20200327,67,0,0,0,1,0
20200328,67,0,0,0,1,0
20200329,67,0,0,0,1,0
20200330,136,69,0,0,3,2
20200331,136,0,0,0,3,0
20200401,136,0,0,0,3,0
20200402,162,26,0,0,10,7
20200403,205,43,0,0,14,4
20200404,207,2,0,0,15,1
20200405,249,42,0,0,15,0
20200406,246,-3,0,0,22,7
20200407,276,30,0,0,22,0
