Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200226,2,2,0,0,0,0
20200227,3,1,0,0,0,0
20200228,3,0,0,0,0,0
20200229,5,2,0,0,0,0
20200301,7,2,0,0,0,0
20200302,7,0,0,0,0,0
20200303,9,2,0,0,0,0
20200304,9,0,0,0,0,0
20200305,9,0,0,0,0,0
20200306,10,1,0,0,0,0
20200307,11,1,0,0,0,0
20200308,11,0,0,0,0,0
20200309,11,0,0,0,0,0
20200310,12,1,0,0,0,0
20200311,16,4,0,0,0,0
20200312,16,0,0,0,0,0
20200313,16,0,0,0,0,0
20200314,27,11,0,0,0,0
20200315,37,10,0,0,0,0
20200316,49,12,0,0,0,0
20200317,56,7,0,0,0,0
20200318,65,9,0,0,0,0
20200319,96,31,5,5,1,1
20200320,96,0,5,0,1,0
20200321,127,31,5,0,1,0
20200322,200,73,5,0,1,0
20200323,309,109,5,0,1,0
20200324,309,0,5,0,1,0
20200325,436,127,5,0,1,0
20200326,436,0,5,0,1,0
20200327,546,110,37,32,3,2
20200328,546,0,37,0,3,0
20200329,615,69,37,0,5,2
20200330,720,105,64,27,6,1
20200331,794,74,67,3,6,0
20200401,794,0,67,0,6,0
20200402,916,122,88,21,7,1
20200403,984,68,88,0,7,0
20200404,995,11,119,31,12,5
20200405,1048,53,119,0,15,3
20200406,1077,29,130,11,15,0
20200407,1076,-1,130,0,16,1
