Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,2,2,0,0,0,0
20200306,2,0,0,0,0,0
20200307,5,3,0,0,0,0
20200308,7,2,0,0,0,0
20200309,9,2,0,0,0,0
20200310,9,0,0,0,0,0
20200311,13,4,0,0,0,0
20200312,13,0,0,0,0,0
20200313,16,3,0,0,0,0
20200314,19,3,0,0,0,0
20200315,31,12,1,1,0,0
20200316,37,6,1,0,1,1
20200317,48,11,1,0,1,0
20200318,47,-1,2,1,1,0
20200319,70,23,2,0,1,0
20200320,82,12,2,0,1,0
20200321,92,10,7,5,4,3
20200322,120,28,7,0,4,0
20200323,153,33,7,0,7,3
20200324,158,5,21,14,8,1
20200325,195,37,21,0,10,2
20200326,223,28,28,7,10,0
20200327,256,33,34,6,10,0
20200328,298,42,34,0,11,1
20200329,361,63,34,0,13,2
20200330,398,37,34,0,15,2
20200331,439,41,37,3,16,1
20200401,465,26,40,3,20,4
20200402,522,57,42,2,21,1
20200403,563,41,43,1,26,5
20200404,588,25,58,15,32,6
20200405,633,45,66,8,34,2
20200406,639,6,67,1,38,4
20200407,699,60,71,4,47,9
