Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200302,2,2,0,0,0,0
20200303,2,0,0,0,0,0
20200304,2,0,0,0,0,0
20200305,2,0,0,0,0,0
20200306,2,0,0,0,0,0
20200307,2,0,0,0,0,0
20200308,4,2,0,0,0,0
20200309,6,2,0,0,0,0
20200310,19,13,0,0,0,0
20200311,26,7,0,0,1,1
20200312,33,7,0,0,1,0
20200313,33,0,0,0,1,0
20200314,66,33,0,0,3,2
20200315,111,45,2,2,4,1
20200316,111,0,2,0,4,0
20200317,165,54,2,0,5,1
20200318,165,0,2,0,5,0
20200319,281,116,9,7,19,14
20200320,328,47,9,0,32,13
20200321,403,75,9,0,38,6
20200322,457,54,9,0,48,10
20200323,521,64,9,0,49,1
20200324,627,106,9,0,50,1
20200325,723,96,9,0,58,8
20200326,806,83,9,0,78,20
20200327,950,144,9,0,87,9
20200328,1018,68,35,26,102,15
20200329,1136,118,35,0,114,12
20200330,1228,92,64,29,122,8
20200331,1328,100,64,0,136,14
20200401,1456,128,64,0,157,21
20200402,1556,100,64,0,170,13
20200403,1741,185,64,0,181,11
20200404,1837,96,64,0,191,10
20200405,2011,174,64,0,198,7
20200406,2218,207,64,0,209,11
20200407,2453,235,64,0,221,12
