Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200130,1,1,0,0,0,0
20200131,1,0,0,0,0,0
20200201,1,0,0,0,0,0
20200202,2,1,0,0,0,0
20200203,3,1,0,0,0,0
20200204,3,0,0,0,0,0
20200205,3,0,0,0,0,0
20200206,3,0,0,0,0,0
20200207,3,0,0,0,0,0
20200208,3,0,0,0,0,0
20200209,3,0,0,0,0,0
20200210,3,0,0,0,0,0
20200211,3,0,0,0,0,0
20200212,3,0,0,0,0,0
20200213,3,0,0,0,0,0
20200214,3,0,0,0,0,0
20200215,3,0,0,0,0,0
20200216,3,0,0,0,0,0
20200217,3,0,0,0,0,0
20200218,3,0,0,0,0,0
20200219,3,0,0,0,0,0
20200220,3,0,0,0,0,0
20200221,3,0,0,0,0,0
20200222,3,0,0,0,0,0
20200223,3,0,0,0,0,0
20200224,3,0,0,0,0,0
20200225,3,0,0,0,0,0
20200226,3,0,0,0,0,0
20200227,3,0,0,0,0,0
20200228,3,0,0,0,0,0
20200229,3,0,0,0,0,0
20200301,3,0,0,0,0,0
20200302,3,0,0,0,0,0
20200303,5,2,0,0,0,0
20200304,6,1,0,0,0,0
20200305,29,23,0,0,0,0
20200306,30,1,0,0,0,0
20200307,31,1,0,0,0,0
20200308,34,3,0,0,0,0
20200309,43,9,0,0,0,0
20200310,44,1,0,0,0,0
20200311,60,16,0,0,0,0
20200312,73,13,0,0,0,0
20200313,73,0,0,0,1,1
20200314,80,7,0,0,2,1
20200315,102,22,3,3,2,0
20200316,109,7,3,0,2,0
20200317,131,22,3,0,3,1
20200318,120,-11,14,11,3,0
20200319,155,35,14,0,4,1
20200320,203,48,15,1,5,1
20200321,287,84,23,8,5,0
20200322,366,79,23,0,7,2
20200323,440,74,23,0,8,1
20200324,487,47,40,17,9,1
20200325,554,67,42,2,10,1
20200326,634,80,44,2,16,6
20200327,641,7,66,22,17,1
20200328,819,178,80,14,19,2
20200329,902,83,95,15,27,8
20200330,1118,216,101,6,32,5
20200331,1238,120,124,23,35,3
20200401,1649,411,144,20,41,6
20200402,1860,211,156,12,53,12
20200403,2322,462,163,7,62,9
20200404,2784,462,213,50,75,13
20200405,3220,436,274,61,83,8
20200406,3851,631,319,45,111,28
20200407,4312,461,353,34,124,13
