Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200301,1,1,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,2,1,0,0,0,0
20200305,2,0,0,0,0,0
20200306,14,12,0,0,0,0
20200307,18,4,0,0,0,0
20200308,19,1,0,0,0,0
20200309,21,2,0,0,0,0
20200310,24,3,0,0,0,0
20200311,34,10,0,0,0,0
20200312,42,8,0,0,1,1
20200313,69,27,0,0,1,0
20200314,89,20,0,0,1,0
20200315,127,38,0,0,2,1
20200316,167,40,0,0,2,0
20200317,221,54,0,0,2,0
20200318,290,69,0,0,2,0
20200319,555,265,0,0,2,0
20200320,680,125,0,0,3,1
20200321,782,102,0,0,3,0
20200322,902,120,0,0,4,1
20200323,1119,217,0,0,6,2
20200324,1322,203,0,0,7,1
20200325,1555,233,0,0,9,2
20200326,1800,245,0,0,19,10
20200327,2099,299,0,0,22,3
20200328,2379,280,0,0,36,14
20200329,2569,190,0,0,46,10
20200330,2856,287,0,0,54,8
20200331,3164,308,0,0,71,17
20200401,3362,198,0,0,85,14
20200402,3751,389,0,0,98,13
20200403,4153,402,0,0,120,22
20200404,4467,314,0,0,137,17
20200405,4836,369,0,0,158,21
20200406,5190,354,0,0,174,16
20200407,5499,309,0,0,210,36
