Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200220,0,0,0,0,2,2
20200221,3,3,0,0,2,0
20200222,14,11,0,0,4,2
20200223,23,9,0,0,5,1
20200224,35,12,0,0,8,3
20200225,49,14,0,0,12,4
20200226,80,31,0,0,15,3
20200227,119,39,0,0,22,7
20200228,219,100,0,0,26,4
20200229,354,135,0,0,34,8
20200301,550,196,0,0,43,9
20200302,924,374,0,0,54,11
20200303,1435,511,0,0,66,12
20200304,2259,824,0,0,77,11
20200305,2830,571,0,0,92,15
20200306,3406,576,0,0,107,15
20200307,4623,1217,0,0,124,17
20200308,5678,1055,0,0,145,21
20200309,6372,694,0,0,194,49
20200310,6924,552,0,0,237,43
20200311,7751,827,0,0,291,54
20200312,8646,895,0,0,354,63
20200313,9646,1000,0,0,429,75
20200314,10850,1204,0,0,514,85
20200315,7531,-3319,4590,4590,608,94
20200316,9142,1611,4996,406,853,245
20200317,9792,650,5389,393,988,135
20200318,10516,724,5710,321,1135,147
20200319,11144,628,5979,269,1284,149
20200320,11466,322,6745,766,1433,149
20200321,11419,-47,7635,890,1556,123
20200322,12040,621,7913,278,1685,129
20200323,13324,1284,7913,0,1812,127
20200324,13964,640,8913,1000,1934,122
20200325,15315,1351,9625,712,2077,143
20200326,16715,1400,10457,832,2234,157
20200327,18821,2106,11133,676,2378,144
20200328,21212,2391,11679,546,2517,139
20200329,23278,2066,12391,712,2640,123
20200330,26464,3186,12391,0,2640,0
20200331,27052,588,14656,2265,2898,258
20200401,29084,2032,15473,817,3036,138
20200402,30597,1513,16711,1238,3160,124
20200403,31954,1357,17935,1224,3294,134
20200404,32555,601,19736,1801,3452,158
20200405,32612,57,22011,2275,3603,151
20200406,32525,-87,24236,2225,3739,136
20200407,31678,-847,27039,2803,3872,133
