Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200225,1,1,0,0,0,0
20200226,5,4,0,0,0,0
20200227,6,1,0,0,0,0
20200228,7,1,0,0,0,0
20200229,8,1,0,0,0,0
20200301,13,5,0,0,0,0
20200302,19,6,0,0,0,0
20200303,26,7,0,0,0,0
20200304,31,5,0,0,0,0
20200305,34,3,0,0,2,2
20200306,34,0,0,0,2,0
20200307,40,6,0,0,4,2
20200308,50,10,0,0,4,0
20200309,54,4,0,0,6,2
20200310,55,1,0,0,6,0
20200311,55,0,0,0,6,0
20200312,63,8,0,0,7,1
20200313,63,0,0,0,7,0
20200314,84,21,0,0,9,2
20200315,60,-24,24,24,9,0
20200316,91,31,24,0,9,0
20200317,74,-17,41,17,9,0
20200318,100,26,43,2,11,2
20200319,131,31,49,6,12,1
20200320,142,11,49,0,17,5
20200321,148,6,49,0,17,0
20200322,156,8,57,8,20,3
20200323,181,25,62,5,23,3
20200324,214,33,75,13,27,4
20200325,228,14,89,14,29,2
20200326,239,11,107,18,36,7
20200327,296,57,122,15,40,4
20200328,333,37,131,9,42,2
20200329,362,29,143,12,42,0
20200330,432,70,152,9,46,4
20200331,474,42,170,18,50,4
20200401,494,20,182,12,52,2
20200402,516,22,202,20,54,2
20200403,564,48,202,0,54,0
20200404,563,-1,259,57,56,2
20200405,621,58,279,20,61,5
20200406,623,2,344,65,64,3
20200407,684,61,373,29,65,1
