Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200302,2,2,0,0,0,0
20200303,9,7,0,0,0,0
20200304,16,7,0,0,0,0
20200305,26,10,0,0,0,0
20200306,26,0,0,0,0,0
20200307,45,19,0,0,0,0
20200308,45,0,0,0,0,0
20200309,55,10,0,0,0,0
20200310,55,0,0,0,0,0
20200311,61,6,0,0,0,0
20200312,61,0,0,0,0,0
20200313,61,0,0,0,0,0
20200314,61,0,0,0,0,0
20200315,138,77,0,0,0,0
20200316,138,0,0,0,0,0
20200317,199,61,0,0,0,0
20200318,225,26,0,0,0,0
20200319,330,105,0,0,0,0
20200320,409,79,0,0,0,0
20200321,472,63,0,0,1,1
20200322,567,95,0,0,1,0
20200323,587,20,0,0,1,0
20200324,646,59,0,0,2,1
20200325,737,91,0,0,2,0
20200326,800,63,0,0,2,0
20200327,806,6,82,82,2,0
20200328,864,58,97,15,2,0
20200329,894,30,124,27,2,0
20200330,927,33,157,33,2,0
20200331,935,8,198,41,2,0
20200401,982,47,236,38,2,0
20200402,1031,49,284,48,4,2
20200403,1024,-7,336,52,4,0
20200404,1017,-7,396,60,4,0
20200405,1054,37,428,32,4,0
20200406,1096,42,460,32,6,2
20200407,1120,24,460,0,6,0
