Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200222,1,1,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,2,1,0,0,0,0
20200226,2,0,0,0,0,0
20200227,2,0,0,0,0,0
20200228,3,1,0,0,0,0
20200229,5,2,0,0,0,0
20200301,7,2,0,0,0,0
20200302,7,0,0,0,0,0
20200303,10,3,0,0,0,0
20200304,12,2,0,0,0,0
20200305,15,3,0,0,0,0
20200306,15,0,0,0,0,0
20200307,19,4,0,0,0,0
20200308,25,6,0,0,0,0
20200309,39,14,0,0,0,0
20200310,39,0,0,0,0,0
20200311,75,36,0,0,0,0
20200312,75,0,0,0,0,0
20200313,75,0,0,0,0,0
20200314,100,25,0,0,0,0
20200315,176,76,2,2,0,0
20200316,198,22,2,0,0,0
20200317,245,47,5,3,0,0
20200318,299,54,5,0,0,0
20200319,663,364,14,9,0,0
20200320,689,26,15,1,1,1
20200321,867,178,15,0,1,0
20200322,1033,166,37,22,1,0
20200323,1404,371,37,0,1,0
20200324,1874,470,53,16,3,2
20200325,2306,432,58,5,5,2
20200326,2615,309,70,12,8,3
20200327,2946,331,79,9,10,2
20200328,3518,572,89,10,12,2
20200329,4034,516,132,43,81,69
20200330,4518,484,161,29,16,-65
20200331,5114,596,224,63,20,4
20200401,5840,726,226,2,26,6
20200402,6483,643,338,112,36,10
20200403,7053,570,338,0,37,1
20200404,7360,307,458,120,43,6
20200405,7904,544,477,19,49,6
20200406,8177,273,670,193,57,8
20200407,8413,236,770,100,65,8
