Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200131,2,2,0,0,0,0
20200201,2,0,0,0,0,0
20200202,2,0,0,0,0,0
20200203,2,0,0,0,0,0
20200204,2,0,0,0,0,0
20200205,2,0,0,0,0,0
20200206,2,0,0,0,0,0
20200207,3,1,0,0,0,0
20200208,3,0,0,0,0,0
20200209,3,0,0,0,0,0
20200210,3,0,0,0,0,0
20200211,3,0,0,0,0,0
20200212,3,0,0,0,0,0
20200213,3,0,0,0,0,0
20200214,3,0,0,0,0,0
20200215,3,0,0,0,0,0
20200216,3,0,0,0,0,0
20200217,3,0,0,0,0,0
20200218,3,0,0,0,0,0
20200219,3,0,0,0,0,0
20200220,3,0,0,0,0,0
20200221,3,0,0,0,0,0
20200222,9,6,0,0,0,0
20200223,74,65,0,0,2,2
20200224,122,48,0,0,2,0
20200225,223,101,0,0,6,4
20200226,311,88,0,0,11,5
20200227,388,77,0,0,12,1
20200228,633,245,0,0,17,5
20200229,867,234,0,0,21,4
20200301,1099,232,0,0,29,8
20200302,1654,555,0,0,35,6
20200303,1984,330,0,0,52,17
20200304,2422,438,0,0,80,28
20200305,2982,560,0,0,107,27
20200306,3710,728,0,0,148,41
20200307,4439,729,0,0,197,49
20200308,5649,1210,0,0,234,37
20200309,7009,1360,0,0,366,132
20200310,8709,1700,0,0,463,97
20200311,9518,809,0,0,631,168
20200312,11635,2117,0,0,827,196
20200313,14097,2462,0,0,1016,189
20200314,16392,2295,0,0,1268,252
20200315,17750,1358,1966,1966,1441,173
20200316,20603,2853,2335,369,1809,368
20200317,22728,2125,2749,414,2503,694
20200318,26062,3334,2941,192,2503,0
20200319,33190,7128,4440,1499,3405,902
20200320,37860,4670,5129,689,4032,627
20200321,42681,4821,6072,943,4825,793
20200322,46638,3957,7024,952,5476,651
20200323,50418,3780,7432,408,6077,601
20200324,54030,3612,8326,894,6820,743
20200325,57521,3491,9362,1036,7503,683
20200326,62013,4492,10361,999,8165,662
20200327,66414,4401,10950,589,9134,969
20200328,70065,3651,12384,1434,10023,889
20200329,73880,3815,13030,646,10779,756
20200330,75528,1648,14620,1590,11591,812
20200331,77635,2107,15729,1109,12428,837
20200401,80572,2937,16847,1118,13155,727
20200402,83523,2951,18278,1431,13915,760
20200403,85842,2319,19758,1480,14681,766
20200404,88658,2816,20996,1238,15362,681
20200405,91615,2957,21815,819,15887,525
20200406,93187,1572,22837,1022,16523,636
20200407,94374,1187,24392,1555,17127,604
