Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200311,1,1,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,7,6,0,0,0,0
20200315,8,1,0,0,0,0
20200316,10,2,0,0,0,0
20200317,10,0,0,0,0,0
20200318,12,2,0,0,0,0
20200319,14,2,0,0,1,1
20200320,14,0,0,0,1,0
20200321,15,1,0,0,1,0
20200322,15,0,0,0,1,0
20200323,18,3,0,0,1,0
20200324,18,0,0,0,1,0
20200325,20,2,0,0,1,0
20200326,25,5,0,0,1,0
20200327,25,0,0,0,1,0
20200328,25,0,0,0,1,0
20200329,29,4,0,0,1,0
20200330,31,2,0,0,1,0
20200331,35,4,0,0,1,0
20200401,35,0,0,0,1,0
20200402,37,2,0,0,1,0
20200403,41,4,0,0,3,2
20200404,44,3,0,0,3,0
20200405,50,6,0,0,3,0
20200406,52,2,0,0,3,0
20200407,55,3,0,0,3,0
