Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,2,2,0,0,0,0
20200317,2,0,0,0,0,0
20200318,5,3,0,0,0,0
20200319,5,0,0,0,0,0
20200320,12,7,0,0,0,0
20200321,12,0,0,0,0,0
20200322,15,3,0,0,0,0
20200323,15,0,0,0,0,0
20200324,18,3,0,0,0,0
20200325,18,0,0,0,0,0
20200326,18,0,0,0,0,0
20200327,31,13,0,0,1,1
20200328,51,20,0,0,1,0
20200329,60,9,0,0,1,0
20200330,61,1,0,0,2,1
20200331,61,0,0,0,2,0
20200401,61,0,0,0,2,0
20200402,79,18,0,0,2,0
20200403,79,0,0,0,2,0
20200404,116,37,0,0,2,0
20200405,120,4,0,0,3,1
20200406,152,32,0,0,3,0
20200407,152,0,0,0,3,0
