Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200303,1,1,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,1,0,0,0,0,0
20200315,0,-1,1,1,0,0
20200316,5,5,1,0,0,0
20200317,34,29,1,0,0,0
20200318,34,0,1,0,0,0
20200319,69,35,1,0,0,0
20200320,85,16,1,0,0,0
20200321,98,13,1,0,0,0
20200322,111,13,1,0,0,0
20200323,126,15,1,0,0,0
20200324,152,26,1,0,0,0
20200325,171,19,1,0,0,0
20200326,211,40,1,0,0,0
20200327,218,7,17,16,0,0
20200328,227,9,18,1,1,1
20200329,239,12,18,0,2,1
20200330,237,-2,26,8,5,3
20200331,239,2,30,4,5,0
20200401,237,-2,36,6,5,0
20200402,249,12,45,9,5,0
20200403,260,11,45,0,5,0
20200404,244,-16,74,29,5,0
20200405,230,-14,110,36,5,0
20200406,218,-12,126,16,5,0
20200407,209,-9,138,12,6,1
