Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200121,1,1,0,0,0,0
20200122,1,0,0,0,0,0
20200123,1,0,0,0,0,0
20200124,1,0,0,0,0,0
20200125,3,2,0,0,0,0
20200126,3,0,0,0,0,0
20200127,4,1,0,0,0,0
20200128,6,2,0,0,0,0
20200129,7,1,0,0,0,0
20200130,11,4,0,0,0,0
20200131,14,3,0,0,0,0
20200201,17,3,0,0,0,0
20200202,20,3,0,0,0,0
20200203,20,0,0,0,0,0
20200204,20,0,0,0,0,0
20200205,33,13,0,0,0,0
20200206,25,-8,0,0,0,0
20200207,25,0,0,0,0,0
20200208,25,0,0,0,0,0
20200209,26,1,0,0,0,0
20200210,26,0,0,0,0,0
20200211,26,0,0,0,0,0
20200212,28,2,0,0,0,0
20200213,29,1,0,0,0,0
20200214,32,3,0,0,1,1
20200215,40,8,0,0,1,0
20200216,52,12,0,0,1,0
20200217,58,6,0,0,1,0
20200218,64,6,0,0,1,0
20200219,72,8,0,0,1,0
20200220,84,12,0,0,1,0
20200221,92,8,0,0,1,0
20200222,104,12,0,0,1,0
20200223,131,27,0,0,1,0
20200224,143,12,0,0,1,0
20200225,156,13,0,0,1,0
20200226,163,7,0,0,1,0
20200227,183,20,0,0,3,2
20200228,206,23,0,0,4,1
20200229,225,19,0,0,5,1
20200301,234,9,0,0,5,0
20200302,248,14,0,0,6,1
20200303,262,14,0,0,6,0
20200304,278,16,0,0,6,0
20200305,311,33,0,0,6,0
20200306,343,32,0,0,6,0
20200307,402,59,0,0,6,0
20200308,449,47,0,0,6,0
20200309,481,32,0,0,7,1
20200310,505,24,0,0,9,2
20200311,556,51,0,0,12,3
20200312,605,49,0,0,15,3
20200313,656,51,0,0,19,4
20200314,695,39,0,0,21,2
20200315,623,-72,135,135,22,1
20200316,633,10,157,22,24,2
20200317,644,11,157,0,28,4
20200318,710,66,157,0,31,3
20200319,769,59,157,0,33,2
20200320,778,9,157,0,34,1
20200321,803,25,215,58,36,2
20200322,845,42,215,0,41,5
20200323,813,-32,285,70,42,1
20200324,881,68,285,0,43,1
20200325,948,67,285,0,44,1
20200326,992,44,359,74,47,3
20200327,1093,101,359,0,51,4
20200328,1298,205,372,13,54,3
20200329,1433,135,404,32,56,2
20200330,1482,49,404,0,58,2
20200331,1747,265,404,0,66,8
20200401,2022,275,404,0,68,2
20200402,2051,29,404,0,71,3
20200403,2648,597,404,0,77,6
20200404,3009,361,404,0,84,7
20200405,3361,352,404,0,93,9
20200406,3582,221,404,0,97,4
20200407,3957,375,404,0,98,1
