Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,3,2,0,0,0,0
20200318,3,0,0,0,0,0
20200319,7,4,0,0,0,0
20200320,7,0,0,0,0,0
20200321,7,0,0,0,0,0
20200322,15,8,0,0,0,0
20200323,16,1,0,0,0,0
20200324,25,9,0,0,0,0
20200325,27,2,1,1,0,0
20200326,29,2,1,0,1,1
20200327,29,0,1,0,1,0
20200328,36,7,1,0,1,0
20200329,40,4,1,0,1,0
20200330,48,8,1,0,1,0
20200331,57,9,1,0,1,0
20200401,77,20,3,2,1,0
20200402,104,27,3,0,3,2
20200403,114,10,4,1,4,1
20200404,118,4,4,0,4,0
20200405,134,16,4,0,4,0
20200406,148,14,4,0,6,2
20200407,159,11,7,3,6,0
