Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,3,3,0,0,0,0
20200320,6,3,0,0,0,0
20200321,12,6,0,0,0,0
20200322,14,2,0,0,0,0
20200323,16,2,0,0,0,0
20200324,16,0,0,0,0,0
20200325,42,26,0,0,0,0
20200326,44,2,0,0,0,0
20200327,58,14,0,0,0,0
20200328,58,0,0,0,0,0
20200329,84,26,0,0,0,0
20200330,84,0,0,0,0,0
20200331,107,23,0,0,0,0
20200401,111,4,0,0,0,0
20200402,116,5,0,0,0,0
20200403,129,13,0,0,1,1
20200404,143,14,0,0,1,0
20200405,146,3,0,0,1,0
20200406,196,50,16,16,4,3
20200407,191,-5,33,17,4,0
