Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200128,1,1,0,0,0,0
20200129,1,0,0,0,0,0
20200130,1,0,0,0,0,0
20200131,1,0,0,0,0,0
20200201,1,0,0,0,0,0
20200202,1,0,0,0,0,0
20200203,1,0,0,0,0,0
20200204,1,0,0,0,0,0
20200205,1,0,0,0,0,0
20200206,1,0,0,0,0,0
20200207,1,0,0,0,0,0
20200208,1,0,0,0,0,0
20200209,1,0,0,0,0,0
20200210,1,0,0,0,0,0
20200211,1,0,0,0,0,0
20200212,1,0,0,0,0,0
20200213,1,0,0,0,0,0
20200214,1,0,0,0,0,0
20200215,1,0,0,0,0,0
20200216,1,0,0,0,0,0
20200217,1,0,0,0,0,0
20200218,1,0,0,0,0,0
20200219,1,0,0,0,0,0
20200220,1,0,0,0,0,0
20200221,1,0,0,0,0,0
20200222,1,0,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,1,0,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,2,1,0,0,0,0
20200309,2,0,0,0,0,0
20200310,2,0,0,0,0,0
20200311,3,1,0,0,0,0
20200312,3,0,0,0,0,0
20200313,5,2,0,0,0,0
20200314,7,2,0,0,0,0
20200315,6,-1,1,1,0,0
20200316,11,5,1,0,0,0
20200317,23,12,1,0,0,0
20200318,23,0,1,0,0,0
20200319,34,11,1,0,0,0
20200320,46,12,1,0,0,0
20200321,50,4,1,0,0,0
20200322,93,43,2,1,0,0
20200323,82,-11,2,0,0,0
20200324,85,3,2,0,0,0
20200325,94,9,2,0,0,0
20200326,94,0,2,0,0,0
20200327,96,2,2,0,0,0
20200328,102,6,2,0,0,0
20200329,82,-20,21,19,0,0
20200330,82,0,21,0,0,0
20200331,86,4,21,0,0,0
20200401,88,2,21,0,0,0
20200402,76,-12,34,13,0,0
20200403,76,0,34,0,0,0
20200404,80,4,34,0,0,0
20200405,64,-16,50,16,0,0
20200406,64,0,50,0,0,0
20200407,65,1,50,0,0,0
