Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200121,1,1,0,0,0,0
20200122,1,0,0,0,0,0
20200123,1,0,0,0,0,0
20200124,2,1,0,0,0,0
20200125,2,0,0,0,0,0
20200126,2,0,0,0,0,0
20200127,4,2,0,0,0,0
20200128,4,0,0,0,0,0
20200129,4,0,0,0,0,0
20200130,4,0,0,0,0,0
20200131,11,7,0,0,0,0
20200201,12,1,0,0,0,0
20200202,15,3,0,0,0,0
20200203,15,0,0,0,0,0
20200204,16,1,0,0,0,0
20200205,18,2,0,0,0,0
20200206,23,5,0,0,0,0
20200207,24,1,0,0,0,0
20200208,24,0,0,0,0,0
20200209,27,3,0,0,0,0
20200210,27,0,0,0,0,0
20200211,28,1,0,0,0,0
20200212,28,0,0,0,0,0
20200213,28,0,0,0,0,0
20200214,28,0,0,0,0,0
20200215,28,0,0,0,0,0
20200216,29,1,0,0,0,0
20200217,30,1,0,0,0,0
20200218,31,1,0,0,0,0
20200219,51,20,0,0,0,0
20200220,103,52,0,0,1,1
20200221,203,100,0,0,1,0
20200222,344,141,0,0,2,1
20200223,597,253,0,0,5,3
20200224,756,159,0,0,7,2
20200225,967,211,0,0,10,3
20200226,1249,282,0,0,12,2
20200227,1753,504,0,0,13,1
20200228,2324,571,0,0,13,0
20200229,3133,809,0,0,17,4
20200301,3718,585,0,0,18,1
20200302,4190,472,0,0,22,4
20200303,4784,594,0,0,28,6
20200304,5296,512,0,0,32,4
20200305,5731,435,0,0,35,3
20200306,6242,511,0,0,42,7
20200307,6723,481,0,0,44,2
20200308,7084,361,0,0,50,6
20200309,7331,247,0,0,51,1
20200310,7459,128,0,0,54,3
20200311,7695,236,0,0,60,6
20200312,7803,108,0,0,66,6
20200313,7913,110,0,0,66,0
20200314,8014,101,0,0,72,6
20200315,7253,-761,834,834,75,3
20200316,7024,-229,1137,303,75,0
20200317,6838,-186,1401,264,81,6
20200318,6789,-49,1540,139,84,3
20200319,6325,-464,2233,693,94,10
20200320,6085,-240,2612,379,102,8
20200321,5884,-201,2909,297,104,2
20200322,5884,0,2909,0,104,0
20200323,5684,-200,3166,257,111,7
20200324,5410,-274,3507,341,120,9
20200325,4966,-444,4144,637,131,11
20200326,4665,-301,4528,384,139,8
20200327,4665,0,4528,0,139,0
20200328,4523,-142,4811,283,144,5
20200329,4398,-125,5033,222,152,8
20200330,4275,-123,5228,195,158,6
20200331,4314,39,5408,180,165,7
20200401,4155,-159,5567,159,165,0
20200402,3979,-176,5828,261,169,4
20200403,3654,-325,6325,497,177,8
20200404,3654,0,6325,0,177,0
20200405,3591,-63,6463,138,183,6
20200406,3500,-91,6598,135,186,3
20200407,3445,-55,6694,96,192,6
