Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200224,3,3,0,0,0,0
20200225,8,5,0,0,0,0
20200226,12,4,0,0,0,0
20200227,43,31,0,0,0,0
20200228,43,0,0,0,0,0
20200229,45,2,0,0,0,0
20200301,45,0,0,0,0,0
20200302,56,11,0,0,0,0
20200303,56,0,0,0,0,0
20200304,56,0,0,0,0,0
20200305,58,2,0,0,0,0
20200306,58,0,0,0,0,0
20200307,58,0,0,0,0,0
20200308,62,4,0,0,0,0
20200309,64,2,0,0,0,0
20200310,65,1,0,0,0,0
20200311,69,4,0,0,0,0
20200312,80,11,0,0,0,0
20200313,80,0,0,0,0,0
20200314,100,20,0,0,0,0
20200315,107,7,5,5,0,0
20200316,107,0,5,0,0,0
20200317,118,11,12,7,0,0
20200318,118,0,12,0,0,0
20200319,136,18,12,0,0,0
20200320,147,11,12,0,0,0
20200321,149,2,27,15,0,0
20200322,158,9,30,3,0,0
20200323,159,1,30,0,0,0
20200324,152,-7,39,9,0,0
20200325,152,0,43,4,0,0
20200326,159,7,49,6,0,0
20200327,168,9,57,8,0,0
20200328,171,3,64,7,0,0
20200329,191,20,64,0,0,0
20200330,194,3,72,8,0,0
20200331,216,22,73,1,0,0
20200401,244,28,73,0,0,0
20200402,261,17,81,8,0,0
20200403,335,74,82,1,0,0
20200404,385,50,93,11,1,1
20200405,451,66,99,6,6,5
20200406,556,105,103,4,6,0
20200407,637,81,105,2,1,-5
