Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200222,1,1,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,2,1,0,0,0,0
20200228,2,0,0,0,0,0
20200229,2,0,0,0,0,0
20200301,2,0,0,0,0,0
20200302,10,8,0,0,0,0
20200303,13,3,0,0,0,0
20200304,13,0,0,0,0,0
20200305,13,0,0,0,0,0
20200306,16,3,0,0,0,0
20200307,22,6,0,0,0,0
20200308,28,6,0,0,0,0
20200309,32,4,0,0,0,0
20200310,41,9,0,0,0,0
20200311,40,-1,0,0,1,1
20200312,63,23,0,0,3,2
20200313,63,0,0,0,3,0
20200314,73,10,0,0,4,1
20200315,89,16,1,1,3,-1
20200316,95,6,1,0,3,0
20200317,105,10,1,0,3,0
20200318,116,11,1,0,3,0
20200319,154,38,1,0,3,0
20200320,172,18,1,0,4,1
20200321,218,46,8,7,4,0
20200322,233,15,8,0,4,0
20200323,255,22,8,0,4,0
20200324,292,37,8,0,4,0
20200325,321,29,8,0,4,0
20200326,342,21,20,12,6,2
20200327,362,20,23,3,6,0
20200328,377,15,27,4,8,2
20200329,398,21,30,3,10,2
20200330,403,5,32,2,11,1
20200331,416,13,35,3,12,1
20200401,430,14,37,2,12,0
20200402,435,5,43,6,16,4
20200403,445,10,46,3,17,1
20200404,453,8,50,4,17,0
20200405,455,2,54,4,18,1
20200406,467,12,55,1,19,1
20200407,469,2,60,5,19,0
