Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,2,1,0,0,0,0
20200318,2,0,0,0,0,0
20200319,2,0,0,0,0,0
20200320,2,0,0,0,0,0
20200321,2,0,0,0,0,0
20200322,2,0,0,0,0,0
20200323,2,0,0,0,0,0
20200324,3,1,0,0,0,0
20200325,3,0,0,0,0,0
20200326,3,0,0,0,0,0
20200327,3,0,0,0,0,0
20200328,3,0,0,0,0,0
20200329,3,0,0,0,0,0
20200330,3,0,0,0,0,0
20200331,9,6,0,0,0,0
20200401,9,0,0,0,0,0
20200402,13,4,0,0,0,0
20200403,13,0,0,0,0,0
20200404,13,0,0,0,0,0
20200405,13,0,0,0,0,0
20200406,14,1,0,0,0,0
20200407,14,0,0,0,0,0
