Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,1,1,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,4,3,0,0,0,0
20200314,4,0,0,0,0,0
20200315,4,0,0,0,0,0
20200316,7,3,0,0,0,0
20200317,7,0,0,0,0,0
20200318,7,0,0,0,0,0
20200319,7,0,0,0,0,0
20200320,25,18,0,0,0,0
20200321,34,9,0,0,0,0
20200322,36,2,0,0,0,0
20200323,46,10,0,0,0,0
20200324,46,0,0,0,0,0
20200325,47,1,0,0,0,0
20200326,51,4,0,0,0,0
20200327,56,5,0,0,0,0
20200328,60,4,0,0,0,0
20200329,61,1,0,0,0,0
20200330,62,1,0,0,0,0
20200331,64,2,0,0,0,0
20200401,68,4,0,0,0,0
20200402,72,4,0,0,0,0
20200403,75,3,0,0,0,0
20200404,76,1,0,0,0,0
20200405,76,0,0,0,1,1
20200406,77,1,0,0,1,0
20200407,77,0,0,0,1,0
