Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200128,1,1,0,0,0,0
20200129,1,0,0,0,0,0
20200130,1,0,0,0,0,0
20200131,1,0,0,0,0,0
20200201,1,0,0,0,0,0
20200202,1,0,0,0,0,0
20200203,1,0,0,0,0,0
20200204,1,0,0,0,0,0
20200205,1,0,0,0,0,0
20200206,1,0,0,0,0,0
20200207,1,0,0,0,0,0
20200208,1,0,0,0,0,0
20200209,1,0,0,0,0,0
20200210,1,0,0,0,0,0
20200211,1,0,0,0,0,0
20200212,1,0,0,0,0,0
20200213,1,0,0,0,0,0
20200214,1,0,0,0,0,0
20200215,1,0,0,0,0,0
20200216,1,0,0,0,0,0
20200217,1,0,0,0,0,0
20200218,1,0,0,0,0,0
20200219,1,0,0,0,0,0
20200220,1,0,0,0,0,0
20200221,1,0,0,0,0,0
20200222,1,0,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,1,0,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,2,1,0,0,0,0
20200313,3,1,0,0,0,0
20200314,6,3,0,0,0,0
20200315,10,4,1,1,0,0
20200316,18,8,1,0,0,0
20200317,28,10,1,0,0,0
20200318,28,0,1,0,0,0
20200319,59,31,1,0,0,0
20200320,70,11,1,0,0,0
20200321,76,6,1,0,0,0
20200322,80,4,1,0,0,0
20200323,91,11,1,0,0,0
20200324,99,8,1,0,0,0
20200325,101,2,1,0,0,0
20200326,100,-1,6,5,0,0
20200327,100,0,6,0,0,0
20200328,106,6,6,0,1,1
20200329,110,4,6,0,1,0
20200330,115,5,6,0,1,0
20200331,124,9,16,10,2,1
20200401,126,2,18,2,2,0
20200402,126,0,21,3,3,1
20200403,131,5,24,3,4,1
20200404,133,2,24,0,5,1
20200405,137,4,29,5,5,0
20200406,142,5,29,0,5,0
20200407,135,-7,42,13,6,1
