Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200302,1,1,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,2,1,0,0,0,0
20200308,2,0,0,0,0,0
20200309,2,0,0,0,0,0
20200310,5,3,0,0,0,0
20200311,5,0,0,0,0,0
20200312,17,12,0,0,0,0
20200313,17,0,0,0,0,0
20200314,37,20,0,0,1,1
20200315,37,0,0,0,1,0
20200316,37,0,0,0,1,0
20200317,80,43,0,0,1,0
20200318,139,59,0,0,1,0
20200319,331,192,0,0,4,3
20200320,480,149,0,0,4,0
20200321,662,182,0,0,8,4
20200322,790,128,0,0,8,0
20200323,867,77,0,0,8,0
20200324,1091,224,0,0,8,0
20200325,1325,234,0,0,8,0
20200326,1444,119,0,0,9,1
20200327,1590,146,0,0,15,6
20200328,1813,223,0,0,18,3
20200329,1929,116,0,0,21,3
20200330,1966,37,0,0,22,1
20200331,2155,189,0,0,23,1
20200401,2290,135,0,0,29,6
20200402,2457,167,0,0,30,1
20200403,2407,-50,174,174,31,1
20200404,2524,117,174,0,31,0
20200405,2527,3,241,67,36,5
20200406,2527,0,241,0,36,0
20200407,2688,161,241,0,41,5
