Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200303,1,1,0,0,0,0
20200304,1,0,0,0,0,0
20200305,2,1,0,0,0,0
20200306,2,0,0,0,0,0
20200307,2,0,0,0,0,0
20200308,2,0,0,0,0,0
20200309,2,0,0,0,0,0
20200310,2,0,0,0,0,0
20200311,2,0,0,0,1,1
20200312,4,2,0,0,1,0
20200313,5,1,0,0,1,0
20200314,6,1,0,0,1,0
20200315,17,11,0,0,1,0
20200316,27,10,0,0,1,0
20200317,35,8,1,1,2,1
20200318,35,0,1,0,2,0
20200319,60,25,1,0,2,0
20200320,72,12,2,1,3,1
20200321,91,19,2,0,3,0
20200322,108,17,3,1,4,1
20200323,134,26,5,2,4,0
20200324,159,25,6,1,5,1
20200325,212,53,7,1,6,1
20200326,258,46,7,0,10,4
20200327,311,53,11,4,23,13
20200328,324,13,11,0,24,1
20200329,424,100,13,2,26,2
20200330,509,85,14,1,33,7
20200331,557,48,24,10,36,3
20200401,586,29,29,5,39,3
20200402,633,47,31,2,44,5
20200403,686,53,57,26,48,4
20200404,794,108,66,9,59,11
20200405,875,81,76,10,70,11
20200406,959,84,81,5,80,10
20200407,1001,42,93,12,90,10
