Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,1,1,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,3,2,0,0,0,0
20200312,4,1,0,0,0,0
20200313,4,0,0,0,0,0
20200314,8,4,0,0,0,0
20200315,12,4,0,0,0,0
20200316,23,11,0,0,0,0
20200317,29,6,0,0,0,0
20200318,30,1,0,0,0,0
20200319,47,17,1,1,1,1
20200320,64,17,1,0,1,0
20200321,78,14,1,0,1,0
20200322,92,14,1,0,1,0
20200323,107,15,1,0,1,0
20200324,123,16,1,0,1,0
20200325,147,24,1,0,1,0
20200326,175,28,1,0,1,0
20200327,187,12,10,9,2,1
20200328,187,0,10,0,2,0
20200329,219,32,10,0,2,0
20200330,286,67,10,0,2,0
20200331,327,41,22,12,4,2
20200401,396,69,22,0,5,1
20200402,477,81,22,0,6,1
20200403,561,84,22,0,8,2
20200404,718,157,22,0,12,4
20200405,819,101,30,8,15,3
20200406,918,99,30,0,17,2
20200407,1007,89,30,0,19,2
