Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200320,3,3,0,0,0,0
20200321,3,0,0,0,0,0
20200322,3,0,0,0,0,0
20200323,12,9,0,0,0,0
20200324,19,7,0,0,0,0
20200325,19,0,0,0,0,0
20200326,23,4,0,0,0,0
20200327,26,3,0,0,0,0
20200328,28,2,0,0,0,0
20200329,43,15,0,0,0,0
20200330,46,3,0,0,0,0
20200331,57,11,0,0,0,0
20200401,57,0,0,0,0,0
20200402,59,2,0,0,0,0
20200403,70,11,0,0,0,0
20200404,70,0,0,0,0,0
20200405,70,0,2,2,0,0
20200406,80,10,2,0,0,0
20200407,81,1,7,5,0,0
