Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,2,2,0,0,0,0
20200309,4,2,0,0,0,0
20200310,4,0,0,0,0,0
20200311,8,4,0,0,0,0
20200312,8,0,0,0,0,0
20200313,8,0,0,0,0,0
20200314,9,1,0,0,0,0
20200315,10,1,0,0,0,0
20200316,13,3,0,0,0,0
20200317,13,0,0,0,0,0
20200318,13,0,0,0,0,0
20200319,13,0,0,0,0,0
20200320,13,0,0,0,0,0
20200321,13,0,0,0,0,0
20200322,13,0,0,0,0,0
20200323,13,0,0,0,0,0
20200324,13,0,0,0,0,0
20200325,13,0,0,0,0,0
20200326,13,0,0,0,0,0
20200327,13,0,0,0,0,0
20200328,13,0,0,0,0,0
20200329,6,-7,11,11,0,0
20200330,6,0,11,0,0,0
20200331,5,-1,13,2,0,0
20200401,5,0,13,0,0,0
20200402,5,0,13,0,0,0
20200403,6,1,13,0,0,0
20200404,6,0,13,0,0,0
20200405,6,0,13,0,0,0
20200406,6,0,13,0,0,0
20200407,6,0,13,0,0,0
