Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200229,2,2,0,0,0,0
20200301,2,0,0,0,0,0
20200302,5,3,0,0,0,0
20200303,5,0,0,0,0,0
20200304,5,0,0,0,0,0
20200305,5,0,0,0,0,0
20200306,5,0,0,0,0,0
20200307,5,0,0,0,0,0
20200308,7,2,0,0,0,0
20200309,7,0,0,0,0,0
20200310,7,0,0,0,0,0
20200311,7,0,0,0,0,0
20200312,11,4,0,0,0,0
20200313,12,1,0,0,0,0
20200314,26,14,0,0,0,0
20200315,40,14,1,1,0,0
20200316,52,12,1,0,0,0
20200317,52,0,1,0,0,0
20200318,81,29,1,0,0,0
20200319,162,81,1,0,1,1
20200320,200,38,1,0,2,1
20200321,200,0,1,0,2,0
20200322,248,48,1,0,2,0
20200323,313,65,1,0,2,0
20200324,365,52,1,0,4,2
20200325,468,103,1,0,6,2
20200326,576,108,1,0,8,2
20200327,576,0,1,0,8,0
20200328,704,128,1,0,12,4
20200329,841,137,1,0,16,4
20200330,972,131,1,0,20,4
20200331,1185,213,1,0,29,9
20200401,1340,155,1,0,37,8
20200402,1340,0,1,0,37,0
20200403,1627,287,1,0,60,23
20200404,1627,0,1,0,60,0
20200405,1810,183,1,0,79,19
20200406,2313,503,1,0,125,46
20200407,2643,330,1,0,141,16
