Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,3,2,0,0,0,0
20200308,3,0,0,0,0,0
20200309,3,0,0,0,0,0
20200310,7,4,0,0,0,0
20200311,7,0,0,0,0,0
20200312,7,0,0,0,0,0
20200313,7,0,0,0,0,0
20200314,9,2,0,0,0,0
20200315,13,4,0,0,0,0
20200316,13,0,0,0,0,0
20200317,19,6,0,0,0,0
20200318,31,12,0,0,0,0
20200319,35,4,0,0,0,0
20200320,67,32,0,0,0,0
20200321,70,3,0,0,0,0
20200322,85,15,0,0,0,0
20200323,133,48,1,1,2,2
20200324,133,0,1,0,2,0
20200325,145,12,1,0,2,0
20200326,174,29,1,0,2,0
20200327,197,23,1,0,3,1
20200328,215,18,1,0,3,0
20200329,250,35,1,0,6,3
20200330,252,2,1,0,6,0
20200331,321,69,1,0,7,1
20200401,319,-2,1,0,9,2
20200402,342,23,1,0,11,2
20200403,418,76,1,0,11,0
20200404,446,28,20,19,17,6
20200405,514,68,23,3,18,1
20200406,519,5,30,7,21,3
20200407,519,0,30,0,21,0
