Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,3,3,0,0,0,0
20200309,3,0,0,0,0,0
20200310,4,1,0,0,0,0
20200311,4,0,0,0,0,0
20200312,6,2,0,0,0,0
20200313,9,3,0,0,0,0
20200314,12,3,0,0,0,0
20200315,12,0,0,0,0,0
20200316,21,9,0,0,0,0
20200317,30,9,0,0,0,0
20200318,38,8,0,0,0,0
20200319,38,0,0,0,0,0
20200320,53,15,0,0,0,0
20200321,64,11,0,0,0,0
20200322,73,9,0,0,0,0
20200323,90,17,0,0,0,0
20200324,107,17,0,0,0,0
20200325,120,13,0,0,0,0
20200326,129,9,0,0,0,0
20200327,134,5,0,0,0,0
20200328,139,5,0,0,0,0
20200329,139,0,0,0,0,0
20200330,151,12,0,0,0,0
20200331,169,18,0,0,0,0
20200401,169,0,0,0,0,0
20200402,188,19,0,0,0,0
20200403,202,14,0,0,0,0
20200404,213,11,0,0,0,0
20200405,227,14,0,0,0,0
20200406,241,14,0,0,0,0
20200407,293,52,0,0,0,0
