Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200318,2,2,0,0,0,0
20200319,10,8,0,0,0,0
20200320,10,0,0,0,0,0
20200321,14,4,0,0,0,0
20200322,14,0,0,0,0,0
20200323,27,13,0,0,0,0
20200324,27,0,0,0,0,0
20200325,53,26,0,0,0,0
20200326,52,-1,0,0,1,1
20200327,74,22,0,0,1,0
20200328,74,0,0,0,1,0
20200329,84,10,0,0,1,0
20200330,90,6,0,0,1,0
20200331,108,18,0,0,1,0
20200401,107,-1,0,0,2,1
20200402,118,11,0,0,2,0
20200403,172,54,0,0,2,0
20200404,172,0,0,0,2,0
20200405,212,40,0,0,2,0
20200406,231,19,0,0,2,0
20200407,231,0,0,0,2,0
