Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200310,1,1,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,1,0,0,0,0,0
20200315,1,0,0,0,0,0
20200316,1,0,0,0,0,0
20200317,4,3,0,0,0,0
20200318,4,0,0,0,0,0
20200319,4,0,0,0,0,0
20200320,6,2,0,0,0,0
20200321,10,4,0,0,0,0
20200322,10,0,0,0,0,0
20200323,10,0,0,0,0,0
20200324,10,0,0,0,0,0
20200325,10,0,0,0,0,0
20200326,11,1,0,0,0,0
20200327,11,0,0,0,0,0
20200328,12,1,0,0,0,0
20200329,12,0,0,0,0,0
20200330,12,0,0,0,0,0
20200331,12,0,0,0,0,0
20200401,12,0,0,0,0,0
20200402,14,2,0,0,0,0
20200403,14,0,0,0,0,0
20200404,14,0,0,0,0,0
20200405,14,0,0,0,0,0
20200406,13,-1,2,2,0,0
20200407,13,0,2,0,0,0
