Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,7,7,0,0,0,0
20200320,12,5,0,0,0,0
20200321,13,1,0,0,1,1
20200322,22,9,0,0,2,1
20200323,32,10,2,2,2,0
20200324,38,6,2,0,2,0
20200325,46,8,0,-2,2,0
20200326,79,33,0,0,2,0
20200327,92,13,0,0,2,0
20200328,100,8,0,0,2,0
20200329,105,5,0,0,2,0
20200330,128,23,0,0,3,1
20200331,138,10,0,0,5,2
20200401,155,17,0,0,6,1
20200402,162,7,0,0,7,1
20200403,179,17,0,0,7,0
20200404,189,10,0,0,7,0
20200405,220,31,0,0,7,0
20200406,233,13,4,4,7,0
20200407,253,20,8,4,7,0
