Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200126,3,3,0,0,0,0
20200127,4,1,0,0,0,0
20200128,4,0,0,0,0,0
20200129,4,0,0,0,0,0
20200130,7,3,0,0,0,0
20200131,8,1,0,0,0,0
20200201,8,0,0,0,0,0
20200202,8,0,0,0,0,0
20200203,8,0,0,0,0,0
20200204,10,2,0,0,0,0
20200205,10,0,0,0,0,0
20200206,12,2,0,0,0,0
20200207,14,2,0,0,0,0
20200208,15,1,0,0,0,0
20200209,17,2,0,0,0,0
20200210,18,1,0,0,0,0
20200211,18,0,0,0,0,0
20200212,18,0,0,0,0,0
20200213,18,0,0,0,0,0
20200214,19,1,0,0,0,0
20200215,21,2,0,0,0,0
20200216,22,1,0,0,0,0
20200217,22,0,0,0,0,0
20200218,22,0,0,0,0,0
20200219,22,0,0,0,0,0
20200220,22,0,0,0,0,0
20200221,22,0,0,0,0,0
20200222,22,0,0,0,0,0
20200223,22,0,0,0,0,0
20200224,22,0,0,0,0,0
20200225,22,0,0,0,0,0
20200226,22,0,0,0,0,0
20200227,22,0,0,0,0,0
20200228,24,2,0,0,0,0
20200229,24,0,0,0,0,0
20200301,24,0,0,0,0,0
20200302,24,0,0,0,0,0
20200303,29,5,0,0,0,0
20200304,50,21,0,0,0,0
20200305,50,0,0,0,0,0
20200306,55,5,0,0,0,0
20200307,83,28,0,0,0,0
20200308,93,10,0,0,0,0
20200309,93,0,0,0,0,0
20200310,117,24,0,0,0,0
20200311,129,12,0,0,0,0
20200312,129,0,0,0,0,0
20200313,129,0,0,0,0,0
20200314,197,68,0,0,0,0
20200315,206,9,32,32,0,0
20200316,511,305,42,10,0,0
20200317,504,-7,49,7,0,0
20200318,493,-11,60,11,0,0
20200319,838,345,60,0,2,2
20200320,940,102,87,27,3,1
20200321,1065,125,114,27,4,1
20200322,1157,92,139,25,10,6
20200323,1365,208,139,0,14,4
20200324,1426,61,183,44,15,1
20200325,1578,152,199,16,19,4
20200326,1793,215,215,16,23,4
20200327,1876,83,259,44,26,3
20200328,1973,97,320,61,27,1
20200329,2048,75,388,68,34,7
20200330,2204,156,388,0,34,0
20200331,2186,-18,537,149,43,9
20200401,2218,32,645,108,45,2
20200402,2299,81,767,122,50,5
20200403,2453,154,827,60,53,3
20200404,2511,58,915,88,57,4
20200405,2596,85,1005,90,61,4
20200406,2490,-106,1241,236,62,1
20200407,2579,89,1321,80,63,1
