Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,1,0,0,0,0,0
20200320,4,3,0,0,0,0
20200321,4,0,0,0,0,0
20200322,11,7,0,0,0,0
20200323,14,3,0,0,0,0
20200324,24,10,0,0,0,0
20200325,30,6,0,0,0,0
20200326,35,5,0,0,0,0
20200327,50,15,0,0,0,0
20200328,50,0,0,0,0,0
20200329,50,0,0,0,0,0
20200330,82,32,0,0,0,0
20200331,82,0,0,0,0,0
20200401,101,19,0,0,0,0
20200402,114,13,0,0,2,2
20200403,126,12,0,0,2,0
20200404,126,0,0,0,2,0
20200405,145,19,0,0,2,0
20200406,145,0,0,0,2,0
20200407,162,17,0,0,2,0
