Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200320,1,1,0,0,0,0
20200321,1,0,0,0,0,0
20200322,2,1,0,0,0,0
20200323,2,0,0,0,0,0
20200324,13,11,0,0,0,0
20200325,23,10,0,0,0,0
20200326,23,0,0,0,0,0
20200327,26,3,0,0,0,0
20200328,29,3,0,0,0,0
20200329,32,3,0,0,0,0
20200330,42,10,0,0,0,0
20200331,42,0,0,0,0,0
20200401,52,10,0,0,0,0
20200402,65,13,0,0,0,0
20200403,70,5,0,0,1,1
20200404,113,43,0,0,1,0
20200405,125,12,0,0,1,0
20200406,126,1,0,0,1,0
20200407,126,0,0,0,1,0
