Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200315,2,2,0,0,0,0
20200316,2,0,0,0,0,0
20200317,2,0,0,0,0,0
20200318,2,0,0,0,0,0
20200319,2,0,0,0,0,0
20200320,3,1,0,0,0,0
20200321,3,0,0,0,0,0
20200322,3,0,0,0,0,0
20200323,3,0,0,0,0,0
20200324,7,4,0,0,0,0
20200325,7,0,0,0,0,0
20200326,8,1,0,0,0,0
20200327,8,0,0,0,0,0
20200328,11,3,0,0,0,0
20200329,11,0,0,0,0,0
20200330,11,0,0,0,0,0
20200331,11,0,0,0,0,0
20200401,13,2,0,0,0,0
20200402,11,-2,3,3,0,0
20200403,11,0,3,0,0,0
20200404,11,0,3,0,0,0
20200405,13,2,3,0,0,0
20200406,13,0,3,0,0,0
20200407,13,0,3,0,0,0
