Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200320,2,2,0,0,0,0
20200321,2,0,0,0,0,0
20200322,4,2,0,0,0,0
20200323,5,1,0,0,0,0
20200324,8,3,0,0,0,0
20200325,10,2,0,0,0,0
20200326,14,4,0,0,0,0
20200327,14,0,0,0,0,0
20200328,15,1,0,0,0,0
20200329,15,0,0,0,0,0
20200330,15,0,0,0,0,0
20200331,15,0,0,0,0,0
20200401,16,1,0,0,0,0
20200402,16,0,0,0,0,0
20200403,18,2,0,0,0,0
20200404,18,0,0,0,0,0
20200405,18,0,0,0,0,0
20200406,18,0,0,0,0,0
20200407,18,0,0,0,0,0
