Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200228,1,1,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,2,1,0,0,0,0
20200310,2,0,0,0,0,0
20200311,2,0,0,0,0,0
20200312,2,0,0,0,0,0
20200313,2,0,0,0,0,0
20200314,2,0,0,0,0,0
20200315,2,0,0,0,0,0
20200316,2,0,0,0,0,0
20200317,2,0,0,0,0,0
20200318,1,-1,1,1,0,0
20200319,11,10,1,0,0,0
20200320,11,0,1,0,0,0
20200321,21,10,1,0,0,0
20200322,28,7,2,1,0,0
20200323,33,5,2,0,1,1
20200324,41,8,2,0,1,0
20200325,43,2,2,0,1,0
20200326,62,19,2,0,1,0
20200327,66,4,3,1,1,0
20200328,85,19,3,0,1,0
20200329,107,22,3,0,1,0
20200330,121,14,8,5,2,1
20200331,128,7,9,1,2,0
20200401,163,35,9,0,2,0
20200402,162,-1,20,11,2,0
20200403,181,19,25,5,4,2
20200404,185,4,25,0,4,0
20200405,194,9,33,8,5,1
20200406,198,4,35,2,5,0
20200407,204,6,44,9,6,1
