Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200228,1,1,0,0,0,0
20200229,2,1,0,0,0,0
20200301,7,5,0,0,0,0
20200302,13,6,0,0,0,0
20200303,18,5,0,0,0,0
20200304,28,10,0,0,0,0
20200305,38,10,0,0,0,0
20200306,82,44,0,0,0,0
20200307,127,45,0,0,1,1
20200308,187,60,0,0,1,0
20200309,262,75,0,0,3,2
20200310,318,56,0,0,3,0
20200311,378,60,0,0,4,1
20200312,498,120,0,0,5,1
20200313,609,111,0,0,5,0
20200314,794,185,0,0,10,5
20200315,947,153,0,0,12,2
20200316,1115,168,0,0,20,8
20200317,1389,274,0,0,24,4
20200318,1662,273,0,0,43,19
20200319,2402,740,0,0,58,15
20200320,2888,486,0,0,106,48
20200321,3495,607,0,0,136,30
20200322,4025,530,0,0,179,43
20200323,4584,559,0,0,213,34
20200324,5284,700,0,0,276,63
20200325,6056,772,0,0,356,80
20200326,6997,941,0,0,434,78
20200327,8057,1060,0,0,546,112
20200328,6169,-1888,2954,2954,639,93
20200329,7141,972,2954,0,771,132
20200330,7932,791,2954,0,864,93
20200331,8602,670,2954,0,1039,175
20200401,9487,885,2954,0,1173,134
20200402,10404,917,2954,0,1339,166
20200403,11282,878,2954,0,1487,148
20200404,12022,740,2954,0,1651,164
20200405,13131,1109,2954,0,1766,115
20200406,13982,851,2954,0,1867,101
20200407,14525,543,2954,0,2101,234
