Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,4,3,0,0,0,0
20200229,6,2,0,0,0,0
20200301,15,9,0,0,0,0
20200302,19,4,0,0,0,0
20200303,25,6,0,0,0,0
20200304,33,8,0,0,0,0
20200305,56,23,0,0,0,0
20200306,86,30,0,0,0,0
20200307,113,27,0,0,0,0
20200308,147,34,0,0,0,0
20200309,169,22,0,0,0,0
20200310,192,23,0,0,0,0
20200311,277,85,0,0,0,0
20200312,489,212,0,0,0,0
20200313,489,0,0,0,0,0
20200314,749,260,0,0,1,1
20200315,906,157,0,0,1,0
20200316,1076,170,0,0,1,0
20200317,1166,90,0,0,3,2
20200318,1305,139,0,0,3,0
20200319,1751,446,0,0,7,4
20200320,1932,181,0,0,7,0
20200321,2143,211,0,0,7,0
20200322,2255,112,0,0,7,0
20200323,2563,308,0,0,10,3
20200324,2784,221,0,0,12,2
20200325,3027,243,0,0,14,2
20200326,3301,274,0,0,14,0
20200327,3702,401,0,0,19,5
20200328,3959,257,0,0,22,3
20200329,4219,260,0,0,26,4
20200330,4419,200,0,0,32,6
20200331,4577,158,0,0,38,6
20200401,4804,227,0,0,44,6
20200402,5077,273,0,0,48,4
20200403,5308,231,0,0,48,0
20200404,5489,181,0,0,62,14
20200405,5616,127,0,0,70,8
20200406,5686,70,0,0,76,6
20200407,5814,128,0,0,89,13
