Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200225,2,2,0,0,0,0
20200226,4,2,0,0,0,0
20200227,4,0,0,0,0,0
20200228,6,2,0,0,0,0
20200229,6,0,0,0,0,0
20200301,6,0,0,0,0,0
20200302,6,0,0,0,0,0
20200303,6,0,0,0,0,0
20200304,12,6,0,0,0,0
20200305,15,3,0,0,0,0
20200306,16,1,0,0,0,0
20200307,16,0,0,0,0,0
20200308,16,0,0,0,0,0
20200309,16,0,0,0,0,0
20200310,18,2,0,0,0,0
20200311,18,0,0,0,0,0
20200312,18,0,0,0,0,0
20200313,18,0,0,0,0,0
20200314,19,1,0,0,0,0
20200315,11,-8,9,9,0,0
20200316,13,2,9,0,0,0
20200317,12,-1,12,3,0,0
20200318,12,0,12,0,0,0
20200319,27,15,12,0,0,0
20200320,35,8,13,1,0,0
20200321,39,4,13,0,0,0
20200322,38,-1,17,4,0,0
20200323,49,11,17,0,0,0
20200324,67,18,17,0,0,0
20200325,82,15,17,0,0,0
20200326,86,4,23,6,0,0
20200327,108,22,23,0,0,0
20200328,129,21,23,0,0,0
20200329,138,9,29,6,0,0
20200330,150,12,29,0,0,0
20200331,150,0,29,0,0,0
20200401,175,25,34,5,1,1
20200402,173,-2,57,23,1,0
20200403,193,20,57,0,2,1
20200404,214,21,61,4,2,0
20200405,235,21,61,0,2,0
20200406,268,33,61,0,2,0
20200407,302,34,67,6,2,0
