Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,2,2,0,0,0,0
20200228,2,0,0,0,0,0
20200229,2,0,0,0,0,0
20200301,4,2,0,0,0,0
20200302,4,0,0,0,0,0
20200303,5,1,0,0,0,0
20200304,5,0,0,0,0,0
20200305,5,0,0,0,0,0
20200306,5,0,0,0,0,0
20200307,5,0,0,0,0,0
20200308,5,0,0,0,0,0
20200309,6,1,0,0,0,0
20200310,16,10,0,0,0,0
20200311,16,0,0,0,0,0
20200312,19,3,0,0,0,0
20200313,20,1,0,0,0,0
20200314,21,1,0,0,0,0
20200315,27,6,1,1,0,0
20200316,51,24,1,0,0,0
20200317,186,135,1,0,0,0
20200318,186,0,1,0,0,0
20200319,444,258,2,1,2,2
20200320,490,46,2,0,3,1
20200321,725,235,2,0,3,0
20200322,755,30,2,0,4,1
20200323,863,108,6,4,6,2
20200324,959,96,6,0,7,1
20200325,1003,44,6,0,7,0
20200326,1149,146,21,15,9,2
20200327,1264,115,23,2,9,0
20200328,1458,194,25,2,12,3
20200329,1526,68,25,0,15,3
20200330,1579,53,28,3,18,3
20200331,1856,277,58,30,26,8
20200401,2122,266,85,27,31,5
20200402,2278,156,107,22,34,3
20200403,2316,38,107,0,35,1
20200404,2544,228,130,23,40,5
20200405,2979,435,130,0,47,7
20200406,3349,370,257,127,52,5
20200407,3520,171,429,172,55,3
