Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200310,1,1,0,0,0,0
20200311,7,6,0,0,1,1
20200312,9,2,0,0,1,0
20200313,13,4,0,0,1,0
20200314,26,13,0,0,1,0
20200315,26,0,0,0,1,0
20200316,42,16,0,0,1,0
20200317,68,26,0,0,1,0
20200318,68,0,0,0,1,0
20200319,134,66,0,0,1,0
20200320,199,65,0,0,1,0
20200321,244,45,0,0,1,0
20200322,242,-2,0,0,3,2
20200323,310,68,0,0,3,0
20200324,339,29,0,0,6,3
20200325,552,213,0,0,6,0
20200326,666,114,0,0,8,2
20200327,666,0,0,0,8,0
20200328,772,106,0,0,14,6
20200329,884,112,0,0,17,3
20200330,961,77,4,4,24,7
20200331,961,0,4,0,24,0
20200401,961,0,4,0,24,0
20200402,1147,186,4,0,30,6
20200403,1281,134,4,0,32,2
20200404,1751,470,4,0,46,14
20200405,1751,0,4,0,46,0
20200406,1751,0,4,0,46,0
20200407,2041,290,4,0,55,9
