Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200307,1,1,0,0,0,0
20200308,6,5,0,0,0,0
20200309,6,0,0,0,0,0
20200310,9,3,0,0,0,0
20200311,11,2,0,0,0,0
20200312,17,6,0,0,0,0
20200313,22,5,0,0,0,0
20200314,28,6,0,0,0,0
20200315,43,15,0,0,0,0
20200316,71,28,0,0,0,0
20200317,86,15,0,0,0,0
20200318,86,0,0,0,0,0
20200319,233,147,0,0,1,1
20200320,259,26,0,0,4,3
20200321,313,54,0,0,5,1
20200322,313,0,0,0,5,0
20200323,389,76,1,1,5,0
20200324,389,0,1,0,5,0
20200325,474,85,1,0,5,0
20200326,570,96,1,0,9,4
20200327,610,40,14,13,11,2
20200328,641,31,14,0,16,5
20200329,820,179,14,0,18,2
20200330,912,92,14,0,24,6
20200331,641,-271,394,380,30,6
20200401,641,0,394,0,30,0
20200402,822,181,537,143,55,25
20200403,822,0,537,0,55,0
20200404,759,-63,914,377,73,18
20200405,1284,525,914,0,83,10
20200406,1284,0,914,0,83,0
20200407,1616,332,1231,317,107,24
