Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200130,1,1,0,0,0,0
20200131,1,0,0,0,0,0
20200201,1,0,0,0,0,0
20200202,1,0,0,0,1,1
20200203,1,0,0,0,1,0
20200204,1,0,0,0,1,0
20200205,2,1,0,0,1,0
20200206,2,0,0,0,1,0
20200207,2,0,0,0,1,0
20200208,2,0,0,0,1,0
20200209,2,0,0,0,1,0
20200210,2,0,0,0,1,0
20200211,2,0,0,0,1,0
20200212,2,0,0,0,1,0
20200213,2,0,0,0,1,0
20200214,2,0,0,0,1,0
20200215,2,0,0,0,1,0
20200216,2,0,0,0,1,0
20200217,2,0,0,0,1,0
20200218,2,0,0,0,1,0
20200219,2,0,0,0,1,0
20200220,2,0,0,0,1,0
20200221,2,0,0,0,1,0
20200222,2,0,0,0,1,0
20200223,2,0,0,0,1,0
20200224,2,0,0,0,1,0
20200225,2,0,0,0,1,0
20200226,2,0,0,0,1,0
20200227,2,0,0,0,1,0
20200228,2,0,0,0,1,0
20200229,2,0,0,0,1,0
20200301,2,0,0,0,1,0
20200302,2,0,0,0,1,0
20200303,2,0,0,0,1,0
20200304,2,0,0,0,1,0
20200305,2,0,0,0,1,0
20200306,4,2,0,0,1,0
20200307,4,0,0,0,1,0
20200308,5,1,0,0,1,0
20200309,9,4,0,0,1,0
20200310,32,23,0,0,1,0
20200311,48,16,0,0,1,0
20200312,50,2,0,0,2,1
20200313,50,0,0,0,2,0
20200314,62,12,0,0,2,0
20200315,104,42,1,1,6,4
20200316,127,23,1,0,12,6
20200317,174,47,1,0,12,0
20200318,174,0,1,0,12,0
20200319,193,19,7,6,17,5
20200320,205,12,7,0,18,1
20200321,275,70,13,6,19,1
20200322,338,63,17,4,25,6
20200323,411,73,18,1,33,8
20200324,497,86,20,2,35,2
20200325,572,75,26,6,38,3
20200326,634,62,28,2,45,7
20200327,718,84,31,3,54,9
20200328,972,254,35,4,68,14
20200329,1305,333,42,7,71,3
20200330,1426,121,42,0,78,7
20200331,1947,521,49,7,88,10
20200401,2165,218,50,1,96,8
20200402,2475,310,51,1,107,11
20200403,2830,355,52,1,136,29
20200404,2893,63,57,5,144,8
20200405,3030,137,64,7,152,8
20200406,3424,394,73,9,163,11
20200407,3503,79,84,11,177,14
