Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200304,1,1,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,5,4,0,0,0,0
20200308,6,1,0,0,0,0
20200309,11,5,0,0,0,0
20200310,16,5,0,0,0,0
20200311,22,6,0,0,0,0
20200312,44,22,0,0,0,0
20200313,48,4,0,0,1,1
20200314,63,15,0,0,1,0
20200315,108,45,0,0,3,2
20200316,134,26,13,13,3,0
20200317,134,0,13,0,3,0
20200318,228,94,13,0,5,2
20200319,337,109,13,0,5,0
20200320,407,70,13,0,5,0
20200321,518,111,13,0,5,0
20200322,614,96,13,0,7,2
20200323,614,0,13,0,7,0
20200324,878,264,13,0,10,3
20200325,878,0,13,0,10,0
20200326,1192,314,13,0,16,6
20200327,1192,0,13,0,16,0
20200328,1607,415,13,0,18,2
20200329,1827,220,13,0,22,4
20200330,2011,184,13,0,31,9
20200331,2265,254,13,0,33,2
20200401,2498,233,13,0,43,10
20200402,2876,378,13,0,57,14
20200403,3299,423,13,0,71,14
20200404,3432,133,116,103,79,8
20200405,3874,442,134,18,94,15
20200406,4144,270,162,28,107,13
20200407,4528,384,191,29,129,22
