Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,3,3,0,0,0,0
20200317,3,0,0,0,0,0
20200318,3,0,0,0,0,0
20200319,5,2,0,0,0,0
20200320,6,1,0,0,0,0
20200321,14,8,0,0,0,0
20200322,20,6,0,0,1,1
20200323,22,2,0,0,1,0
20200324,29,7,0,0,2,1
20200325,37,8,0,0,2,0
20200326,49,12,0,0,2,0
20200327,62,13,0,0,2,0
20200328,62,0,0,0,2,0
20200329,62,0,0,0,2,0
20200330,62,0,0,0,2,0
20200331,168,106,0,0,6,4
20200401,231,63,0,0,8,2
20200402,275,44,0,0,11,3
20200403,304,29,0,0,12,1
20200404,363,59,0,0,15,3
20200405,434,71,0,0,18,3
20200406,434,0,0,0,18,0
20200407,492,58,0,0,21,3
