Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200303,2,2,0,0,0,0
20200304,2,0,0,0,0,0
20200305,7,5,0,0,0,0
20200306,9,2,0,0,0,0
20200307,13,4,0,0,0,0
20200308,21,8,0,0,0,0
20200309,30,9,0,0,0,0
20200310,30,0,0,0,0,0
20200311,41,11,0,0,0,0
20200312,41,0,0,0,0,0
20200313,41,0,0,0,0,0
20200314,112,71,0,0,0,0
20200315,112,0,0,0,0,0
20200316,245,133,0,0,0,0
20200317,328,83,3,3,0,0
20200318,444,116,3,0,1,1
20200319,638,194,3,0,1,0
20200320,779,141,3,0,3,2
20200321,1265,486,3,0,12,9
20200322,1585,320,3,0,12,0
20200323,2023,438,14,11,23,11
20200324,2311,288,22,8,29,6
20200325,2940,629,22,0,33,4
20200326,3462,522,22,0,60,27
20200327,4170,708,22,0,76,16
20200328,4170,0,22,0,76,0
20200329,5821,1651,22,0,119,43
20200330,6246,425,22,0,140,21
20200331,7261,1015,22,0,160,20
20200401,8042,781,22,0,187,27
20200402,8803,761,22,0,209,22
20200403,9618,815,22,0,246,37
20200404,10183,565,75,53,266,20
20200405,10937,754,75,0,266,0
20200406,11279,342,140,65,311,45
20200407,11957,678,140,0,345,34
