Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200309,1,1,0,0,0,0
20200310,1,0,0,0,0,0
20200311,5,4,0,0,0,0
20200312,5,0,0,0,0,0
20200313,5,0,0,0,0,0
20200314,6,1,0,0,0,0
20200315,6,0,0,0,0,0
20200316,8,2,0,0,0,0
20200317,9,1,0,0,0,0
20200318,9,0,0,0,0,0
20200319,9,0,0,0,0,0
20200320,18,9,0,0,0,0
20200321,18,0,0,0,0,0
20200322,21,3,0,0,1,1
20200323,21,0,0,0,1,0
20200324,21,0,0,0,1,0
20200325,34,13,0,0,3,2
20200326,38,4,0,0,3,0
20200327,38,0,0,0,3,0
20200328,49,11,0,0,3,0
20200329,53,4,0,0,3,0
20200330,61,8,0,0,3,0
20200331,61,0,0,0,3,0
20200401,61,0,1,1,3,0
20200402,65,4,1,0,3,0
20200403,88,23,1,0,3,0
20200404,92,4,1,0,3,0
20200405,92,0,1,0,3,0
20200406,100,8,1,0,3,0
20200407,96,-4,12,11,5,2
