Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,4,4,0,0,0,0
20200306,7,3,0,0,0,0
20200307,16,9,0,0,0,0
20200308,16,0,0,0,0,0
20200309,19,3,0,0,0,0
20200310,26,7,0,0,0,0
20200311,30,4,0,0,0,0
20200312,30,0,0,0,0,0
20200313,31,1,0,0,0,0
20200314,35,4,0,0,0,0
20200315,38,3,0,0,0,0
20200316,38,0,0,0,0,0
20200317,39,1,0,0,0,0
20200318,41,2,0,0,0,0
20200319,47,6,0,0,0,0
20200320,48,1,0,0,0,0
20200321,40,-8,17,17,0,0
20200322,42,2,17,0,0,0
20200323,42,0,17,0,0,0
20200324,42,0,17,0,0,0
20200325,47,5,16,-1,1,1
20200326,47,0,16,0,1,0
20200327,67,20,16,0,1,0
20200328,79,12,17,1,1,0
20200329,87,8,18,1,1,0
20200330,96,9,18,0,1,0
20200331,98,2,18,0,1,0
20200401,115,17,18,0,1,0
20200402,141,26,18,0,1,0
20200403,171,30,21,3,1,0
20200404,194,23,21,0,1,0
20200405,212,18,21,0,1,0
20200406,231,19,21,0,1,0
20200407,232,1,21,0,1,0
