Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200206,20,20,0,0,0,0
20200207,61,41,0,0,0,0
20200208,64,3,0,0,0,0
20200209,64,0,0,0,0,0
20200210,70,6,0,0,0,0
20200211,135,65,0,0,0,0
20200212,175,40,0,0,0,0
20200213,174,-1,0,0,0,0
20200214,218,44,0,0,0,0
20200215,218,0,0,0,0,0
20200216,355,137,0,0,0,0
20200217,454,99,0,0,0,0
20200218,454,0,0,0,0,0
20200219,542,88,0,0,0,0
20200220,619,77,0,0,2,2
20200221,632,13,0,0,2,0
20200222,632,0,0,0,2,0
20200223,632,0,0,0,2,0
20200224,692,60,0,0,3,1
20200225,688,-4,0,0,3,0
20200226,688,0,0,0,3,0
20200227,701,13,0,0,4,1
20200228,701,0,0,0,4,0
20200229,699,-2,0,0,6,2
20200301,699,0,0,0,6,0
20200302,700,1,0,0,6,0
20200303,700,0,0,0,6,0
20200304,700,0,0,0,6,0
20200305,700,0,0,0,6,0
20200306,690,-10,0,0,6,0
20200307,690,0,0,0,6,0
20200308,689,-1,0,0,7,1
20200309,689,0,0,0,7,0
20200310,689,0,0,0,7,0
20200311,689,0,0,0,7,0
20200312,689,0,0,0,7,0
20200313,689,0,0,0,7,0
20200314,690,1,0,0,7,0
20200315,263,-427,427,427,7,0
20200316,247,-16,458,31,7,0
20200317,247,0,458,0,7,0
20200318,247,0,458,0,7,0
20200319,247,0,458,0,7,0
20200320,247,0,458,0,7,0
20200321,247,0,458,0,7,0
20200322,247,0,458,0,7,0
20200323,128,-119,574,116,10,3
20200324,128,0,574,0,10,0
20200325,128,0,574,0,10,0
20200326,128,0,574,0,10,0
20200327,128,0,574,0,10,0
20200328,128,0,574,0,10,0
20200329,128,0,574,0,10,0
20200330,128,0,574,0,10,0
20200331,128,0,574,0,10,0
20200401,128,0,574,0,10,0
20200402,127,-1,574,0,11,1
20200403,127,0,574,0,11,0
20200404,127,0,574,0,11,0
20200405,127,0,574,0,11,0
20200406,127,0,574,0,11,0
20200407,127,0,574,0,11,0
