Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200301,1,1,0,0,0,0
20200302,3,2,0,0,0,0
20200303,7,4,0,0,0,0
20200304,8,1,0,0,0,0
20200305,8,0,0,0,0,0
20200306,8,0,0,0,0,0
20200307,11,3,0,0,0,0
20200308,12,1,0,0,0,0
20200309,15,3,0,0,0,0
20200310,18,3,0,0,0,0
20200311,24,6,0,0,0,0
20200312,262,238,0,0,0,0
20200313,262,0,0,0,0,0
20200314,262,0,0,0,0,0
20200315,337,75,0,0,0,0
20200316,401,64,0,0,0,0
20200317,439,38,0,0,0,0
20200318,442,3,0,0,0,0
20200319,448,6,4,4,0,0
20200320,460,12,10,6,0,0
20200321,454,-6,27,17,0,0
20200322,461,7,33,6,0,0
20200323,464,3,37,4,0,0
20200324,485,21,41,4,0,0
20200325,496,11,41,0,0,0
20200326,506,10,43,2,0,0
20200327,519,13,43,0,0,0
20200328,544,25,45,2,1,1
20200329,585,41,48,3,1,0
20200330,640,55,51,3,2,1
20200331,717,77,62,11,2,0
20200401,762,45,71,9,2,0
20200402,872,110,72,1,5,3
20200403,998,126,72,0,5,0
20200404,1211,213,109,37,5,0
20200405,1477,266,123,14,4,-1
20200406,1697,220,131,8,4,0
20200407,1920,223,131,0,6,2
