Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200313,3,3,0,0,0,0
20200314,5,2,0,0,0,0
20200315,6,1,0,0,0,0
20200316,9,3,0,0,0,0
20200317,9,0,0,0,0,0
20200318,9,0,0,0,0,0
20200319,9,0,0,0,0,0
20200320,15,6,0,0,0,0
20200321,28,13,0,0,0,0
20200322,47,19,0,0,0,0
20200323,64,17,0,0,0,0
20200324,71,7,0,0,0,0
20200325,83,12,0,0,0,0
20200326,94,11,0,0,0,0
20200327,135,41,0,0,0,0
20200328,135,0,0,0,0,0
20200329,143,8,0,0,0,0
20200330,207,64,0,0,0,0
20200331,207,0,0,0,0,0
20200401,247,40,0,0,0,0
20200402,281,34,0,0,0,0
20200403,308,27,0,0,0,0
20200404,321,13,0,0,0,0
20200405,334,13,0,0,0,0
20200406,344,10,0,0,0,0
20200407,349,5,0,0,0,0
