Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,1,0,0,0,0,0
20200229,3,2,0,0,0,0
20200301,3,0,0,0,0,0
20200302,3,0,0,0,0,0
20200303,3,0,0,0,0,0
20200304,4,1,0,0,0,0
20200305,4,0,0,0,0,0
20200306,6,2,0,0,0,0
20200307,7,1,0,0,0,0
20200308,13,6,0,0,0,0
20200309,15,2,0,0,0,0
20200310,15,0,0,0,0,0
20200311,25,10,0,0,0,0
20200312,48,23,0,0,0,0
20200313,48,0,0,0,0,0
20200314,64,16,0,0,0,0
20200315,120,56,3,3,0,0
20200316,155,35,3,0,0,0
20200317,155,0,3,0,0,0
20200318,181,26,3,0,0,0
20200319,274,93,3,0,0,0
20200320,277,3,31,28,0,0
20200321,277,0,31,0,0,0
20200322,335,58,31,0,1,1
20200323,538,203,31,0,7,6
20200324,538,0,31,0,7,0
20200325,859,321,31,0,17,10
20200326,859,0,31,0,17,0
20200327,1153,294,115,84,24,7
20200328,1153,0,115,0,24,0
20200329,1549,396,169,54,42,18
20200330,1696,147,206,37,50,8
20200331,1956,260,220,14,69,19
20200401,1956,0,220,0,69,0
20200402,2155,199,220,0,85,16
20200403,2869,714,220,0,94,9
20200404,3143,274,329,109,141,47
20200405,3339,196,374,45,151,10
20200406,3526,187,374,0,157,6
20200407,3526,0,374,0,157,0
